Date : 2020-03-06 14:54:19
Directory : c:\Users\tadak\source\repos\XYZ-To-Do
Total : 533 files,  64140 codes, 4942 comments, 7048 blanks, all 76130 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         24 |     32,802 |         56 |         16 |     32,874 |
| TypeScript         |        262 |     12,641 |      1,994 |      3,094 |     17,729 |
| C#                 |        114 |      7,006 |      2,209 |      1,796 |     11,011 |
| CSS                |         36 |      4,866 |        286 |        741 |      5,893 |
| HTML               |         40 |      4,528 |        256 |        800 |      5,584 |
| XML                |         41 |      1,446 |         27 |        117 |      1,590 |
| SQL                |          7 |        698 |         91 |        447 |      1,236 |
| JavaScript         |          2 |         53 |          4 |          4 |         61 |
| SCSS               |          1 |         51 |         18 |          6 |         75 |
| Markdown           |          2 |         27 |          0 |         24 |         51 |
| Properties         |          2 |         14 |          1 |          3 |         18 |
| JSON with Comments |          1 |          7 |          0 |          0 |          7 |
| Batch              |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                      |        533 |     64,140 |      4,942 |      7,048 |     76,130 |
| .vs                                                                                                                                                                                                    |          1 |          6 |          0 |          0 |          6 |
| Controllers                                                                                                                                                                                            |         17 |      2,087 |        138 |        276 |      2,501 |
| Hubs                                                                                                                                                                                                   |         10 |      1,087 |      1,693 |        608 |      3,388 |
| Infrastructure                                                                                                                                                                                         |         11 |        280 |        123 |         77 |        480 |
| Infrastructure\Abstract                                                                                                                                                                                |          3 |         31 |          0 |          7 |         38 |
| Infrastructure\Middlewares                                                                                                                                                                             |          1 |         27 |          2 |          5 |         34 |
| Models                                                                                                                                                                                                 |         73 |      3,384 |        177 |        773 |      4,334 |
| Models\Abstract                                                                                                                                                                                        |         15 |        262 |         17 |        109 |        388 |
| Models\AzureModels                                                                                                                                                                                     |          4 |        162 |          2 |         15 |        179 |
| Models\DatabasePersistanceLayer                                                                                                                                                                        |          1 |        531 |          2 |        171 |        704 |
| Models\Repository                                                                                                                                                                                      |         15 |      1,806 |        154 |        365 |      2,325 |
| Models\ViewModels                                                                                                                                                                                      |         10 |        104 |          2 |         25 |        131 |
| PWA2APKApp                                                                                                                                                                                             |          2 |         14 |          0 |          0 |         14 |
| PWABuilderApp                                                                                                                                                                                          |          2 |         18 |          0 |          6 |         24 |
| Properties                                                                                                                                                                                             |          1 |         22 |          0 |          0 |         22 |
| T-SQL Ref and Utilities, Reporting System, Problem Solvings                                                                                                                                            |         11 |      1,144 |        106 |        537 |      1,787 |
| T-SQL Ref and Utilities, Reporting System, Problem Solvings\agents in sql server2017 expr                                                                                                              |          2 |          2 |          0 |          1 |          3 |
| T-SQL Ref and Utilities, Reporting System, Problem Solvings\t-sql reference                                                                                                                            |          4 |        176 |         16 |        120 |        312 |
| bin                                                                                                                                                                                                    |          3 |      6,122 |          0 |          0 |      6,122 |
| bin\Debug                                                                                                                                                                                              |          3 |      6,122 |          0 |          0 |      6,122 |
| bin\Debug\netcoreapp2.0                                                                                                                                                                                |          3 |      6,122 |          0 |          0 |      6,122 |
| e2e                                                                                                                                                                                                    |          4 |         64 |          3 |         10 |         77 |
| e2e\src                                                                                                                                                                                                |          2 |         27 |          1 |          8 |         36 |
| obj                                                                                                                                                                                                    |          5 |     15,426 |         10 |          5 |     15,441 |
| obj\Debug                                                                                                                                                                                              |          2 |      2,757 |         10 |          5 |      2,772 |
| obj\Debug\netcoreapp2.0                                                                                                                                                                                |          2 |      2,757 |         10 |          5 |      2,772 |
| src                                                                                                                                                                                                    |        380 |     23,206 |      2,588 |      4,658 |     30,452 |
| src\.well-known                                                                                                                                                                                        |          1 |         10 |          0 |          0 |         10 |
